平台	网站
新浪微博	http://open.weibo.com
腾讯微博	http://dev.t.qq.com
QQ空间[2]	http://connect.qq.com/intro/login/
微信[3]	http://open.weixin.qq.com
Facebook	https://developers.facebook.com
Twitter	https://dev.twitter.com
人人网	http://dev.renren.com
开心网	http://open.kaixin001.com
搜狐微博	http://open.t.sohu.com
网易微博	http://open.t.163.com
豆瓣	http://developers.douban.com
有道云笔记	http://note.youdao.com/open/developguide.html#app
印象笔记	https://dev.evernote.com/
Linkedin	https://www.linkedin.com/secure/developer?newapp=
FourSquare	https://developer.foursquare.com/
搜狐随身看	https://open.sohu.com/
Flickr	http://www.flickr.com/services/
Pinterest	http://developers.pinterest.com/
Tumblr	http://www.tumblr.com/developers
Dropbox	https://www.dropbox.com/developers
Instagram	http://instagram.com/developer#
VKontakte	http://vk.com/dev
易信好友[4]	http://open.yixin.im/
明道	http://open.mingdao.com/
Line	http://media.line.me/zh-hant/
